# Long data file split by latools on 2021:06:22 22:20:39
# 
# 
# 
# Sample: NIST610
# Analysis Time: 2021-06-10 01:16:02
Time,Na23,Mg24,Al27,Si29,K39,Ca44,Ti47,V51,Cr52,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Y89,Zr90,Nb93,Ba137,La139,Ce140,Nd146,Sm147,Gd157,Dy163,Er166,Yb172,Hf178,Pb208,Th232,U238
0.0,192572.020524892,0.0,4100.67251029169,268452.03441361,190135.140036999,291049.396454397,50.0001000002,700.019600548815,7202.07419736884,6401.6388195378,850.028900982633,0.0,100.0004000016,0.0,200.0016000128,300.003600043201,150.0009000054,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
0.50695,179377.888074644,0.0,6101.48876325823,278365.359337019,182624.392091447,288286.465709084,150.0009000054,1200.05760276493,9103.31360615264,6301.58800017604,1250.06250312516,0.0,400.006400102402,600.014400345608,500.010000200004,100.0004000016,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
1.01393,177146.402085071,200.0016000128,6601.74286011507,254259.888558002,192572.020524892,287263.311215407,200.0016000128,1000.04000160006,8502.8909829342,6201.53798141939,1750.1225085756,0.0,200.0016000128,400.006400102402,200.0016000128,100.0004000016,50.0001000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.52081,184653.882264765,0.0,4900.9605882753,259056.88743756,178464.959633885,291663.463055961,200.0016000128,600.014400345608,7202.07419736884,6401.6388195378,1350.07290393681,100.0004000016,300.003600043201,500.010000200004,0.0,100.0004000016,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,50.0001000002,50.0001000002,0.0,0.0,0.0,0.0,0.0
2.0277100000000003,180290.882720277,0.0,6801.85010322808,272334.678495467,196431.379030925,290128.352459414,300.003600043201,1400.07840439065,6301.58800017604,5501.21026625858,1300.06760351538,0.0,300.003600043201,400.006400102402,300.003600043201,100.0004000016,0.0,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
2.53479,179682.212266735,0.0,5701.29989637637,261405.01913804,184247.958061176,289923.685126288,200.0016000128,800.025600819226,7102.01697282028,4700.88376614804,800.025600819226,200.0016000128,200.0016000128,300.003600043201,300.003600043201,100.0004000016,200.0016000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,100.0004000016,0.0,0.0
3.04168,189525.993575663,100.0004000016,7702.37233067785,274685.279618898,195212.506500365,286956.381011721,250.002500025,1000.04000160006,7802.43435952017,6301.58800017604,1150.05290243351,100.0004000016,400.006400102402,600.014400345608,100.0004000016,0.0,250.002500025,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.54849,175827.982630693,100.0004000016,5801.34591225164,272334.678495467,186480.703125944,273969.832989607,650.016900439411,900.032401166442,8202.69048247825,5301.12383825371,950.036101371852,200.0016000128,200.0016000128,600.014400345608,100.0004000016,100.0004000016,300.003600043201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
4.05549,183639.096290148,200.0016000128,4800.92177698118,254157.844547526,181914.147803734,291868.158549663,300.003600043201,800.025600819226,7302.132222609,5801.34591225164,800.025600819226,0.0,400.006400102402,700.019600548815,300.003600043201,0.0,100.0004000016,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,200.0016000128,0.0,0.0
4.5625,182218.53330701,0.0,5901.39272868397,281126.122482,185059.819554083,288081.828186703,450.008100145803,900.032401166442,8302.75651516303,5801.34591225164,1200.05760276493,0.0,100.0004000016,600.014400345608,400.006400102402,100.0004000016,350.004900068601,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
