# Long data file split by latools on 2021:06:22 22:02:50
# 
# 
# 
# Sample: NIST610
# Analysis Time: 2021-06-10 06:41:53
Time,Na23,Mg24,Al27,Si29,K39,Ca44,Ti47,V51,Cr52,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,As75,Rb85,Sr88,Y89,Zr90,Nb93,Ba137,La139,Ce140,Nd146,Sm147,Gd157,Dy163,Er166,Yb172,Hf178,Pb208,Th232,U238
0.0,129062.866884318,0.0,1800.12960933187,155663.24415483,226330.638488519,120881.682656945,50.0001000002,100.0004000016,8202.69048247825,6201.53798141939,2050.16811378533,100.0004000016,100.0004000016,200.0016000128,300.003600043201,200.0016000128,50.0001000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,50.0001000002,50.0001000002,0.0,0.0,0.0,200.0016000128,0.0,0.0
0.5071199999999999,137350.483039327,0.0,1100.04840212969,142103.167100452,231830.054541124,121184.59448379,50.0001000002,200.0016000128,8602.95941803981,7202.07419736884,1550.09610595857,0.0,200.0016000128,300.003600043201,200.0016000128,100.0004000016,200.0016000128,0.0,0.0,0.0,0.0,600.014400345608,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,100.0004000016,0.0,0.0
1.01418,138058.215720738,200.0016000128,2300.21161946899,150399.388342287,230913.318692675,129770.13296664,150.0009000054,300.003600043201,9103.31360615264,8002.56081946223,1900.14441097523,0.0,400.006400102402,300.003600043201,0.0,200.0016000128,100.0004000016,200.0016000128,0.0,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.003600043201,0.0,0.0
1.52118,143620.359493426,100.0004000016,2000.16001280102,148577.797628389,242224.385200383,127446.408182301,0.0,3800.57768780855,9603.68781612139,7802.43435952017,1350.07290393681,100.0004000016,100.0004000016,500.010000200004,500.010000200004,100.0004000016,200.0016000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
2.02818,131690.055892879,0.0,2200.1936170383,154144.598097139,230302.198467612,127143.345327356,450.008100145803,400.006400102402,8402.82334864514,6501.69043951427,1800.12960933187,0.0,300.003600043201,500.010000200004,600.014400345608,500.010000200004,150.0009000054,0.0,0.0,12506.2531265633,0.0,2300.21161946899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
2.53519,139271.564467148,100.0004000016,1200.05760276493,144024.975057127,234071.24486739,125830.157428401,250.002500025,400.006400102402,7902.49718911176,5501.21026625858,2150.18491590277,0.0,200.0016000128,0.0,500.010000200004,0.0,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0016000128,0.0,0.0
3.0422,132094.287575497,0.0,1400.07840439065,151310.282660485,231422.608162062,130477.438862574,150.0009000054,4700.88376614804,7502.25067520256,6001.44034568296,2400.23042212052,0.0,200.0016000128,300.003600043201,1800.12960933187,200.0016000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.54914,137552.688310435,0.0,1100.04840212969,152524.911060672,233459.971657778,116843.556223552,100.0004000016,1200.05760276493,7802.43435952017,6701.7960813498,2350.22092076655,0.0,500.010000200004,200.0016000128,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
4.05615,132801.724311261,0.0,2100.17641481884,150399.388342287,242632.18051915,126335.213453243,0.0,400.006400102402,7502.25067520256,6401.6388195378,2350.22092076655,0.0,300.003600043201,500.010000200004,100.0004000016,300.003600043201,50.0001000002,0.0,0.0,50.0001000002,0.0,0.0,500.010000200004,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,1400.07840439065,0.0,0.0
4.56315,136541.694484439,100.0004000016,2900.33643902693,146351.767285602,237128.055206722,123406.171112505,50.0001000002,500.010000200004,8703.02865397158,6001.44034568296,2200.1936170383,0.0,500.010000200004,100.0004000016,800.025600819226,100.0004000016,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,100.0004000016,0.0,0.0
5.07004,993574.741130892,27530.2833116428,800.025600819226,138664.875452999,237739.506147913,118963.410713137,150.0009000054,400.006400102402,10004.0016006403,7302.132222609,2150.18491590277,0.0,400.006400102402,500.010000200004,800.025600819226,0.0,300.003600043201,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,100.0004000016,0.0,0.0
5.57704,134418.872128141,0.0,3100.38444767151,149690.960597476,237841.417518696,130982.681737214,150.0009000054,200.0016000128,9303.46088745013,35550.4816839913,2000.16001280102,0.0,600.014400345608,200.0016000128,400.006400102402,0.0,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
6.084169999999999,136238.412194092,100.0004000016,2600.27042812453,139574.919955593,238045.242729424,121184.59448379,100.0004000016,200.0016000128,7202.07419736884,7102.01697282028,1800.12960933187,0.0,100.0004000016,200.0016000128,200.0016000128,100.0004000016,100.0004000016,0.0,0.0,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
6.591,130174.302888965,11205.0198488923,2000.16001280102,146554.117396185,246914.82700814,122093.373796652,100.0004000016,300.003600043201,9403.53572943427,7202.07419736884,1800.12960933187,100.0004000016,300.003600043201,200.0016000128,500.010000200004,200.0016000128,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,200.0016000128,0.0,0.0
7.09772,129669.09251739,0.0,1600.10240655402,149792.162117572,229080.046825173,123204.193364258,0.0,300.003600043201,8602.95941803981,6801.85010322808,1500.09000540032,0.0,200.0016000128,100.0004000016,500.010000200004,0.0,50.0001000002,81822.9654584524,0.0,950.036101371852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.17641481884,0.0,0.0
7.60461,138968.216299705,200.0016000128,2900.33643902693,145947.076833944,229792.9542271,117651.077647702,100.0004000016,100.0004000016,7902.49718911176,6501.69043951427,2650.28092977856,0.0,100.0004000016,0.0,500.010000200004,300.003600043201,200.0016000128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,100.0004000016,0.0,0.0,100.0004000016,0.0,0.0
8.1116,129972.216302718,400.006400102402,1200.05760276493,150298.181935245,230200.347974923,115834.227457032,200.0016000128,300.003600043201,9003.24116682005,7102.01697282028,2150.18491590277,0.0,500.010000200004,600.014400345608,0.0,100.0004000016,200.0016000128,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0016000128,0.0,0.0
8.61856,131589.000004021,0.0,1000.04000160006,147363.550405375,199559.760737129,120376.845845291,4650.86506090133,100.0004000016,8703.02865397158,6901.90492575951,2000.16001280102,0.0,600.014400345608,500.010000200004,1800.12960933187,100.0004000016,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.2916314962,0.0,0.0
9.12553,140687.286052751,467130.999968109,1900.14441097523,145340.065579047,234478.77679397,120275.880917835,0.0,400.006400102402,7502.25067520256,4774080.51469602,1550.09610595857,300.003600043201,500.010000200004,100.0004000016,200.0016000128,200.0016000128,150.0009000054,0.0,0.0,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0,100.0004000016,0.0,0.0
9.63246,133913.491080477,455740.133407586,1200.05760276493,149994.567601173,230404.049782615,115026.822848647,100.0004000016,500.010000200004,9603.68781612139,8102.62525058119,3750.56258438766,0.0,600.014400345608,300.003600043201,500.010000200004,100.0004000016,150.0009000054,0.0,0.0,0.0,0.0,100.0004000016,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,100.0004000016
10.13926,126436.227094741,0.0,1900.14441097523,149893.364452135,233459.971657778,113815.81326572,50.0001000002,300.003600043201,10204.1632986258,6901.90492575951,2000.16001280102,200.0016000128,400.006400102402,500.010000200004,200.0016000128,100.0004000016,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.003600043201,0.0,0.0
10.64615,126133.188606806,0.0,1900.14441097523,141900.888615345,228469.015403494,127648.454147067,100.0004000016,300.003600043201,8602.95941803981,7302.132222609,1600.10240655402,0.0,100.0004000016,1000.04000160006,600.014400345608,400.006400102402,50.0001000002,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.15316,133307.060649686,0.0,2700.2916314962,147869.47249829,231320.748623379,126840.289782824,100.0004000016,200.0016000128,7102.01697282028,7402.19104855037,2400.23042212052,100.0004000016,900.032401166442,200.0016000128,100.0004000016,100.0004000016,4950.98029409823,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0009000054,0.0,0.0,0.0,0.0,0.0
11.66016,128557.701199336,0.0,2400.23042212052,143418.056594817,231218.889907109,114320.386398888,150.0009000054,400.006400102402,7702.37233067785,6901.90492575951,9703.76506084361,0.0,500.010000200004,21618.6785382571,100.0004000016,300.003600043201,11305.1099096792,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.16712,137451.585268247,0.0,2200.1936170383,160118.99729881,237841.417518696,113311.260406956,7252.10310990187,200.0016000128,8202.69048247825,6401.6388195378,1750.1225085756,0.0,200.0016000128,400.006400102402,100.0004000016,100.0004000016,250.002500025,0.0,0.0,700.019600548815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
12.67399,137350.483039327,200.0016000128,2200.1936170383,147768.286451187,229487.417550035,123204.193364258,2950.34814108065,600.014400345608,8202.69048247825,6501.69043951427,2200.1936170383,0.0,0.0,200.0016000128,200.0016000128,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0016000128,0.0,0.0
13.181,130982.681737214,1500.09000540032,2900.33643902693,143822.665647504,228163.510791599,125224.116999124,0.0,200.0016000128,9503.61137232148,7302.132222609,22720.6303323418,0.0,300.003600043201,20616.9883984403,100.0004000016,0.0,100.0004000016,93000.1831568049,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,50.0001000002,0.0,100.0004000016,0.0,0.0
13.687949999999999,136339.505477711,100.0004000016,2200.1936170383,148678.990190003,475244.933330206,119569.149149954,100.0004000016,300.003600043201,8302.75651516303,6501.69043951427,3650.53297781476,0.0,500.010000200004,0.0,100.0004000016,200.0016000128,200.0016000128,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,0.0
14.19492,545194.440803836,0.0,7602.31110257518,140889.545010237,231117.032013241,118357.701489418,50.0001000002,400.006400102402,10204.1632986258,105042.982647887,2200.1936170383,100.0004000016,500.010000200004,300.003600043201,200.0016000128,100.0004000016,100.0004000016,100.0004000016,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,400.006400102402,0.0,0.0
14.70192,127951.529186618,0.0,1500.09000540032,192368.929142935,234682.54769355,130275.347400926,150.0009000054,300.003600043201,8402.82334864514,6501.69043951427,1950.15211186473,200.0016000128,300.003600043201,100.0004000016,0.0,100.0004000016,200.0016000128,0.0,0.0,0.0,0.0,300.003600043201,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,0.0
15.20884,128658.732711483,0.0,1700.11560786133,146857.648668222,225312.491171141,118862.457147221,50.0001000002,200.0016000128,18213.259252736,7502.25067520256,1650.10890718787,0.0,300.003600043201,100.0004000016,100.0004000016,100.0004000016,7402.19104855037,0.0,0.0,500.010000200004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,100.0004000016,0.0,0.0
15.71585,134115.6410607,0.0,2000.16001280102,148173.035525315,235599.557468526,116944.493562025,100.0004000016,200.0016000128,7902.49718911176,7502.25067520256,2200.1936170383,0.0,900.032401166442,200.0016000128,500.010000200004,0.0,100.0004000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0004000016,0.0,1300.06760351538
16.22287,132094.287575497,200.0016000128,2100.17641481884,140485.030349594,232848.728062561,120174.916801981,4450.7922410189,200.0016000128,9503.61137232148,5401.16665199683,1750.1225085756,0.0,400.006400102402,0.0,100.0004000016,600.014400345608,150.0009000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0001000002,0.0,0.0,0.0,0.0,200.0016000128,0.0,0.0
16.729870000000002,137249.381623665,64653.7148296343,2000.16001280102,168123.062054524,229080.046825173,120780.713671332,150.0009000054,400.006400102402,8302.75651516303,56828.8879177976,2250.20251822664,0.0,400.006400102402,500.010000200004,400.006400102402,600.014400345608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.003600043201,0.0,0.0
