Element	H1	H2	He3	He4	Li6	Li7	Be9	B10	B11	C12	C13	N14	N15	O16	O17	O18	F19	Ne20	Ne21	Ne22	Na23	Mg24	Mg25	Mg26	Al27	Si28	Si29	Si30	P31	S32	S33	S34	S36	Cl35	Cl37	Ar36	Ar38	Ar40	K39	K40	K41	Ca40	Ca42	Ca43	Ca44	Ca46	Ca48	Sc45	Ti46	Ti47	Ti48	Ti49	Ti50	V50	V51	Cr50	Cr52	Cr53	Cr54	Mn55	Fe54	Fe56	Fe57	Fe58	Co59	Ni58	Ni60	Ni61	Ni62	Ni64	Cu63	Cu65	Zn64	Zn66	Zn67	Zn68	Zn70	Ga69	Ga71	Ge70	Ge72	Ge73	Ge74	Ge76	As75	Se74	Se76	Se77	Se78	Se80	Se82	Br79	Br81	Kr78	Kr80	Kr82	Kr83	Kr84	Kr86	Rb85	Rb87	Sr84	Sr86	Sr87	Sr88	Y89	Zr90	Zr91	Zr92	Zr94	Zr96	Nb93	Mo92	Mo94	Mo95	Mo96	Mo97	Mo98	Mo100	Ru96	Ru98	Ru99	Ru100	Ru101	Ru102	Ru104	Rh103	Pd102	Pd104	Pd105	Pd106	Pd108	Pd110	Ag107	Ag109	Cd106	Cd108	Cd110	Cd111	Cd112	Cd113	Cd114	Cd116	In113	In116	Sn112	Sn114	Sn115	Sn116	Sn117	Sn118	Sn119	Sn120	Sn122	Sn124	Sb121	Sb123	Te120	Te122	Te123	Te124	Te125	Te126	Te128	Te130	I127	Xe124	Xe126	Xe128	Xe129	Xe130	Xe131	Xe132	Xe134	Xe136	Cs133	zzz         Ba130	Ba132	Ba134	Ba135	Ba136	Ba137	Ba138	La138	La139	Ce136	Ce138	Ce140	Ce142	Pr141	Nd142	Nd143	Nd144	Nd145	Nd146	Nd148	Nd150	Pm147	Sm144	Sm147	Sm148	Sm149	Sm150	Sm152	Sm154	Eu151	Eu153	Gd152	Gd154	Gd155	Gd156	Gd157	Gd158	Gd160	Tb159	Dy156	Dy158	Dy160	Dy161	Dy162	Dy163	Dy164	Ho165	Er162	Er164	Er166	Er167	Er168	Er170	Tm169	Yb168	Yb170	Yb171	Yb172	Yb173	Yb174	Yb176	Lu175	Lu176	Hf174	Hf176	Hf177	Hf178	Hf179	Hf180	Ta180	Ta181	W180	W182	W183	W184	W186	Re185	Re187	Os184	Os186	Os187	Os188	Os189	Os190	Os192	Ir191	Ir193	Pt190	Pt192	Pt194	Pt195	Pt196	Pt198	Au197	Hg196	Hg198	Hg199	Hg200	Hg201	Hg202	Hg204	Tl203	Tl205	Pb204	Pb206	Pb207	Pb208	Bi209	Th232	U234	U235	U238	Th232O16
Atomic_weight	1.00784	1.00784	4.002602	4.002602	6.939	6.939	9.0121831	10.806	10.806	12.0111	12.0111	14.00643	14.0064	15.99903	15.99903	15.99903	18.9984	20.1797	20.1797	20.1797	22.98976928	24.304	24.304	24.304	26.9815385	28.086	28.084	28.084	30.973761998	32.059	32.059	32.059	32.064	35.446	35.446	39.948	39.948	39.948	39.0983	39.0983	39.0983	40.078	40.078	40.078	40.078	40.078	40.078	44.955908	47.867	47.867	47.867	47.867	47.867	50.9415	50.9415	51.9961	51.9961	51.9961	51.9961	54.845	55.845	55.845	55.845	55.847	58.933194	58.6934	58.6934	58.6934	58.6934	58.6934	63.546	63.546	65.38	65.38	65.38	65.38	65.38	69.723	69.723	72.630	72.630	72.630	72.630	72.630	74.921595	78.971	78.971	78.971	78.971	78.971	78.971	79.904	79.904	83.798	83.798	83.798	83.798	83.798	83.798	85.4678	85.4678	87.62	87.62	87.62	87.62	88.90584	91.224	91.224	91.224	91.224	91.224	92.90637	95.95	95.95	95.95	95.95	95.95	95.95	95.95	101.07	101.07	101.07	101.07	101.07	101.07	101.07	102.90550	106.42	106.42	106.42	106.42	106.42	106.42	107.8682	107.8682	112.414	112.414	112.414	112.414	112.414	112.414	112.414	112.414	114.818	114.818	118.71	118.71	118.71	118.71	118.71	118.71	118.71	118.71	118.71	118.71	121.76	121.76	127.6	127.6	127.6	127.6	127.6	127.6	127.6	127.6	126.90447	131.293	131.293	131.293	131.293	131.293	131.293	131.293	131.293	131.293	132.90545196	137.327	137.327	137.327	137.327	137.327	137.327	137.327	138.90547	138.90547	140.116	140.116	140.116	140.116	140.90766	144.242	144.242	144.242	144.242	144.242	144.242	144.242	NA	150.36	150.36	150.36	150.36	150.36	150.36	150.36	151.964	151.964	157.25	157.25	157.25	157.25	157.25	157.25	157.25	158.92535	162.5	162.5	162.5	162.5	162.5	162.5	162.5	164.93033	167.259	167.259	167.259	167.259	167.259	167.259	168.93422	173.054	173.054	173.054	173.054	173.054	173.054	173.054	174.9668	174.9668	178.49	178.49	178.49	178.49	178.49	178.49	180.94788	180.94788	183.84	183.84	183.84	183.84	183.84	186.207	186.207	190.23	190.23	190.23	190.23	190.23	190.23	190.23	192.217	192.217	195.084	195.084	195.084	195.084	195.084	195.084	196.966569	200.592	200.592	200.592	200.592	200.592	200.592	200.592	204.383	204.383	207.2	207.2	207.2	207.2	208.9804	232.0377	238.02891	238.02891	238.02891	NA
isotope_abundance	0.999885	0.000115	0.00000134	0.99999866	0.0759	0.9241	1	0.199	0.801	0.9893	0.01107	0.99636	0.00364	0.99757	0.00038	0.00205	1	0.9048	0.0027	0.0925	1	0.7899	0.1000	0.1101	1	0.92223	0.04685	0.03092	1	0.9499	0.0075	0.0425	0.0001	0.7576	0.2424	0.003336	0.000629	0.996035	0.932581	0.000117	0.067302	0.96941	0.00647	0.00135	0.02086	0.00004	0.00187	1	0.0825	0.0744	0.7372	0.0541	0.0518	0.00250	0.99750	0.04345	0.83789	0.09501	0.02365	1	0.05845	0.91754	0.02119	0.00282	1	0.68077	0.26223	0.011399	0.036346	0.009255	0.6915	0.3085	0.4917	0.2773	0.0404	0.1845	0.0061	0.60108	0.39892	0.2057	0.2745	0.0775	0.3650	0.0773	1	0.0089	0.0937	0.0763	0.2377	0.4961	0.0873	0.5069	0.4931	0.00355	0.02286	0.11593	0.11593	0.56987	0.17279	0.7217	0.2783	0.0056	0.0986	0.0700	0.8258	1	0.5145	0.1122	0.1715	0.1738	0.0280	1	0.1453	0.0915	0.1584	0.1667	0.0960	0.2439	0.0982	0.0554	0.0187	0.1276	0.1260	0.1706	0.3155	0.1862	1	0.0102	0.1114	0.2233	0.2733	0.2646	0.1172	0.51839	0.48161	0.0125	0.0089	0.1249	0.128	0.2413	0.1222	0.2873	0.0749	0.0429	0.9571	0.0097	0.0066	0.0034	0.1454	0.0768	0.2422	0.0859	0.3258	0.0463	0.0579	0.5721	0.4279	0.0009	0.0255	0.0089	0.0474	0.0707	0.1884	0.3174	0.3408	1	0.000952	0.000890	0.019102	0.264006	0.040710	0.212324	0.269086	0.104357	0.088573	1	zzz         0.00106	0.00101	0.02417	0.06592	0.07854	0.11232	0.71698	0.0008881	0.9991119	0.00185	0.00251	0.8845	0.11114	1	0.27152	0.12174	0.23798	0.08293	0.17189	0.05756	0.05638	NA	0.0307	0.1499	0.1124	0.1382	0.0738	0.2675	0.2275	0.4781	0.5219	0.0020	0.0218	0.148	0.2047	0.1565	0.2484	0.2186	1	0.00056	0.00095	0.02329	0.18889	0.25475	0.24896	0.28260	1	0.00139	0.01601	0.33503	0.22869	0.26978	0.1491	1	0.00123	0.02982	0.1409	0.2168	0.16103	0.32026	0.12996	0.97401	0.02599	0.0016	0.0526	0.186	0.2728	0.1362	0.3508	0.0001201	0.9998799	0.0012	0.265	0.1431	0.3064	0.2843	0.3740	0.6260	0.0002	0.0159	0.0196	0.1324	0.1615	0.2626	0.4078	0.373	0.627	0.00012	0.00782	0.3286	0.3378	0.2521	0.07356	1	0.0015	0.0997	0.1687	0.231	0.1318	0.2986	0.0687	0.2952	0.7048	0.014	0.241	0.221	0.524	1	1	0.000054	0.007204	0.992742	NA
