Site	Fire	No.	Sherd	Part	Decorated	Weight	max thickness	exterior colour	core colour	interior	Inclusions	RIM_DIRECTION	LIP	RIM_LIP	radius	Burnished_inside	Burnished_outside	Multi-Impressed	Dash-Impressed_comb	LT-Impressed_comb	Fingernail	Punctate	Incised	Incised_comb	Grooved	Applique	Row_dashes_single	Row_dashes_multiple	Dots	Dashes	Dashes_slanted	Circles	Spikes	Stick	Columns_straight	Columns_slanted	Spaced_rows	Trails	Lines_straight	Lines_wavy	Lines_undulus	Tracks	Cresents	Triangles	Triangles_desc_dots	Single_col	Musical	Nubbin	Nubbin_donut	Agarabi_Adzera
NLQ	N	39	NLQ/39	body	N	100.2	11.87	sienna3	sienna3	sienna4	Sparse			_		Y	Y																																	
NLQ	N	41	NLQ/41	body	N	157.4	22.04	tan4	tan4	dark grey	Sparse			_			N																																	
NLQ	N	44	NLQ/44	body	N	68.3	13.87	salmon3	salmon3	salmon3	Sparse			_		Y	N																																	
NLQ	N	50	NLQ/50	body	N	34.9	10.78	tan4	ND	sienna1	Sparse			_		Y	Y																																	
NLQ	N	52	NLQ/52	body	Y	16.7	10.86	sienna4	sienna3	sienna3	Sparse			_			Y	Y						Y																Y			Y							Adzera
NLQ	N	53	NLQ/53	body	N	66.4	11.81	sienna3	tan4	tan4	Sparse			_		Y	N																																	
NLQ	N	57	NLQ/57	body	N	26	10.65	salmon4	salmon3	salmon3	Sparse			_		N	N																																	
NLQ	N	58	NLQ/58	body	N	49.7	16.88	salmon3	salmon3	salmon4	Sparse			_		Y	N																																	
NLQ	N	59	NLQ/59	body	Y	13.5	8.59	sienna4	sienna4	sienna4	Sparse			_			N							Y														Y	Y											notAdzera
NLQ	N	62	NLQ/62	body	Y	11.4	9.84	tan4	dark grey	tan1	Sparse			_		Y		Y		Y																							Y		Y					Adzera
NLQ	N	67	NLQ/67	body	N	18.5	11.36	sienna1	sienna1	sienna1	Sparse			_		Y	N																																	
NLQ	N	28	NLQ/28	body	N	102.7	19.44	tan1	sienna4	sienna3	U			_		Y	N																																	
NLQ	N	30	NLQ/30	body	N	119.3	17.17	salmon2	dark grey	dark grey	U			_		Y	N																																	
NLQ	N	43_47	NLQ/43_47	body	Y	38.5	9.93	tan1	dark grey	sienna1	U			_			Y			Y																									Y					Adzera
NLX	N	8	NLX/8	body	Y	19.5	10.95	sienna3	sienna3	sienna4	Moderate			_			N			Y	Y																								Y					Adzera
NLX	N	5	NLX/5	body	Y	30.9	6.96	sienna3	sienna3	sienna3	Sparse			_			Y			Y	Y			Y																Y			Y		Y					Adzera
NLX	N	1	NLX/1	body	N	106.3	8.78	tan4	tan4	tan4	Sparse			_		Y	Y																																	AMR
NLX	N	4	NLX/4	body	N	62.5	8.55	sienna1	grey	sienna1	Sparse			_		Y	N																																	AMR
NLX	N	14	NLX/14	body	Y	55	8.5	sienna3	dark grey	sienna3	Sparse			_		Y	N			Y																									Y					Adzera
NLX	N	15	NLX/15	body	N	61.5	8.28	sienna3	dark grey	sienna3	Sparse			_		N	N																																	AMR
NLX	N	19	NLX/19	body	Y	54.9	11.9	sienna1	dark grey	sienna1	Sparse			_		Y	Y			Y			Y			Y					Y														Y			Y		Adzera
NLX	N	21	NLX/21	body	Y	96.6	14.97	sienna4	dark grey	dark grey	Sparse			_		Y	Y			Y	Y																						Y		Y					Adzera
NME	N	3	NME/3	body	Y	10.7	8.26	sienna3	sienna3	sienna3	Moderate			_			Y							Y														Y												
