"length"	"Na"	"Mg"	"Al"	"Si"	"K"	"Ca"	"Ti"	"V"	"Cr"	"Mn"	"Fe"	"Co"	"Ni"	"Cu"	"Zn"	"As"	"Rb"	"Sr"	"Y"	"Zr"	"Nb"	"Ba"	"La"	"Ce"	"Nd"	"Sm"	"Gd"	"Dy"	"Er"	"Yb"	"Hf"	"Pb"	"Th"	"U"
3.14330050000001	872.60719188616	10363.0258142816	149690.4675509	249528.269593599	14122.5015491597	4722.53866679849	6517.76622239692	306.939748498177	18.9843302637048	400.627681640505	89373.3077664563	19.6242369307227	13.8127583921541	178.094946658713	143.052336970171	3.25024936300576	125.652686482736	147.635371571304	21.5732482360915	12.5166691377432	9.43122395163976	523.886335143466	29.1859159347111	66.0912603428539	32.9647322044222	6.01450061813629	5.26566358735991	3.61317336458188	2.12997092671622	3.67606190428454	0.784280647261308	18.9498501852514	15.1683757405115	3.36354921997702
3.16865050000001	1158.21220954673	11164.4346185636	163926.850792479	229163.189409874	14102.0665387815	5185.29831597439	7433.28317638524	334.322818751071	20.7826924766889	487.644203429	98112.34557192	23.1857973970927	41.3862134629481	194.167503340721	153.515556181128	2.50715024070378	140.795952512241	154.972170347515	21.7835847824315	14.0931569839184	9.83149778441821	561.943720946623	29.8861124827205	69.4327008312913	29.95568396287	6.20435264100042	5.46263039716336	4.12990562751924	2.57717272538562	4.49929397504542	1.08897988817478	18.120534192898	15.0365439347515	3.69509579944827
3.19399800000001	1131.62793393801	10648.1421968365	155764.710717186	247003.770415264	13845.6549879203	5195.98127297796	7579.29445833689	311.346917635833	21.1958870808055	485.393642695142	82985.4684197935	21.157934770081	19.975592816829	172.254925336814	146.388598236761	3.06713053745738	140.807678352636	145.462200330962	19.9474994350144	13.8098252498041	12.123085466537	525.145701686637	30.5109299704458	65.4746961577973	28.0291971084795	5.6643732715102	4.54048858022703	3.68598393737872	2.05696064893566	4.02585134912743	0.934867223525792	16.4007468286358	12.5157385373154	3.87145766200092
3.21933300000001	1073.69680146401	10979.619146868	130097.399919238	269515.743477572	15361.4454430077	5422.44204725022	6378.57601689513	258.381978093474	18.6828414188036	394.30594109963	82639.9865682029	17.6605144834768	35.9549367557318	190.692984329152	600.579924808592	3.04941448900759	119.318752728928	131.514511145748	18.7581532421003	11.9398354432489	9.29749271155228	438.90122499748	25.7277293637082	58.1469909885353	24.7737397754419	4.75833212297355	3.65635495507557	2.894919529519	1.83179586085554	3.27645036396302	0.893505795458568	16.4777439805396	12.2383650483034	2.58398600895415
3.2446745	1210.78102069373	10701.6386671839	134084.085676382	262332.274698334	20195.6032150641	11782.047291985	6441.74258752106	284.27609007751	2155.37793075889	516.515623506823	75979.4405051693	25.4255090578383	20.3271977480804	162.422088613997	133.011315237644	5.23446901265821	134.096623617219	146.89934933208	18.7087508090059	12.6833747945678	10.3058289181551	492.811942096097	25.9130175175056	58.9491444840559	23.634841849138	5.76820347526472	4.04616135719781	3.66971072421695	1.92468754823141	3.37441769408243	0.811954108085519	21.1963086397297	12.1396091476786	2.46501821604212
3.27001500000001	1363.8903049655	11699.0220456814	138829.107418283	261034.901112638	17082.608103026	8220.47702606606	6604.83313952162	271.999594108165	21.0445722355522	620.409669077348	78269.0845673775	25.5575140884648	24.6612362184931	158.219172024426	139.254878082672	3.79850632856117	131.576258807448	172.982375134838	19.782407608312	12.3248184638807	11.0640417102849	590.30669573447	26.1947882955071	58.8421851050823	25.0022073760836	5.72804775307126	4.2735771791587	3.23623311476065	1.91667850811136	3.12751886033656	0.769916232158269	18.6323790012667	12.4310350136725	3.27345321442233
3.29535149999999	1599.82736099479	12853.5056641531	134591.618019741	257336.661838743	22033.9104657919	9459.65264923134	6377.19964109888	285.647407205906	21.5465794717183	991.888606992693	82302.5706973797	25.4144113255429	18.366374832253	196.269033580049	149.726653334729	3.90265289663479	149.84357166768	180.161621216236	21.6990165220582	13.6233999213582	9.23289902757875	581.427361477297	29.7759337951791	63.0980875415904	29.6852808569422	6.15679185202936	4.72535801860166	3.69746286219812	2.28756209489286	4.26390504541473	0.847530837485377	20.0253662265303	15.6002582777749	3.15831020432538
3.320702	2145.67978805755	12871.3552298067	136048.518252462	248458.707844471	23853.6424321316	8934.22271819704	7309.47276849194	360.187197543532	24.6134670742736	772.438726268052	91070.6642650382	20.9982901223963	24.4711908768344	155.87762976531	155.210237085908	2.01024199456853	152.364611534231	197.896923399323	22.3633723908085	14.3709173866036	11.3863700194295	640.972066794402	29.1936057659137	69.3593736928408	31.2066114063226	6.59231546016626	5.75823242692441	3.97898150277781	2.34488211602425	4.16257435652209	0.867545663525477	26.7444008208981	16.5487380332742	5.33345625509897
3.34604549999999	1689.75755098836	11561.2166906761	154782.389609663	231639.708846717	25820.6039354188	7291.23682344193	7460.97209609675	360.090174462553	27.0582215134578	665.078312057406	93250.1823497554	20.1857323595184	16.459296662533	179.13772690055	188.69571974972	2.88168150447393	161.680368092726	202.226895189666	22.1470769890764	16.9154484545245	10.4516446870252	615.385264097748	33.2989139515873	77.8372188540727	30.5722407964762	6.46576830036037	6.09477059060655	4.3162590531041	2.763841275687	5.46382298907926	1.07049430699228	24.543541664395	19.2777205912694	4.77558615377323
3.3714025	1434.83284274343	12049.5238813331	146553.846803512	242288.613431636	24359.7295660552	6216.21908657948	7856.57897483988	400.413647245239	26.0914994678984	520.946866409008	89796.5621054214	23.1584715746278	32.5630472678136	195.008759571997	145.771799446804	4.92594825051382	156.092108634166	192.696439555845	22.9021490543034	17.0154999321969	12.7902788441403	584.14519533943	33.5192563898505	87.6531369663884	30.9575175784936	6.62324459286202	5.47831150442157	4.17160922604126	2.39664761194271	5.25914136428723	1.21565076432794	23.9220569857506	19.6466729163627	4.89610983648113
3.39675300000001	2369.36956863348	10601.3091308644	146000.555120115	240206.45658739	17869.9893346704	5153.94389617451	7658.10946077668	369.58267678401	22.6759998691719	468.819750556001	101484.499305549	22.3900823421984	16.2245703133349	166.421733631429	128.193968233964	3.45515485391294	137.285499705327	151.629707064038	20.1244538272517	13.578542334316	10.6315236551124	473.241961332333	30.6178285528706	82.0473737760716	27.9707403045708	6.64336401010537	6.13689572630105	3.55450861858231	2.13620212237522	5.37005256742855	1.13482510080994	21.2825921678145	16.5954168437788	4.02931384340828
